"id","name","logo_url"
"87242","1697's Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/87242/LogoShield (1).png"
"54861","Abbotsford RFC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54861/Abbotsford - Transparent.png"
"90697","Aurora Wolves","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/90697/AWRU.jpg"
"54899","Axemen Rugby Club","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54899/Axemen- Transparent.png"
"79457","BC Grassroots Rugby Foundation","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/79457/BC Grassroots - Transparent.png"
"62539","BC Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/62539/bears logo.jpg"
"57517","BC Rugby Union","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/57517/BCRugby_Primary.png"
"54862","Bayside","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54862/Bayside - Transparent.png"
"54863","Brit Lions","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54863/Ex-Britannia-Red-Lions profile.jpg"
"54864","Burnaby Lake","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54864/Burnaby Lake - Transparent.png"
"77871","CORE","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/77871/Core - Transparent.png"
"82192","CV Rapids Rugby Association","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/82192/Rapids - Transparent.png"
"54865","Campbell River","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54865/Campbell River - Transparent.png"
"77873","Canadian Classics","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/77873/Canadian Classics - Transparent.png"
"54866","Capilano","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54866/Capilano - Transparent.png"
"54867","Castaway Wanderers","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54867/Castaway Wanders - Transparent.png"
"90841","Celtic Barbarians","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/90841/CB.png"
"90686","Central Washington","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/90686/CWU.png"
"54868","Chilliwack Crusaders","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54868/Chilliwack - Transparent.png"
"54869","Chuckanut","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54869/ChuckanutBay.png"
"54870","Comox Valley Kickers","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54870/Comox Valley - Transparent.png"
"54871","Cowichan RFC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54871/Cowichan - Transparent.png"
"81580","Cowichan Valley Junior Rugby Development Society","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/81580/Cowichan - Transparent.png"
"54872","Ebb Tide","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54872/EBB Tide - Transparent.png"
"89518","Edmonton Clansmen","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/89518/BC Rugby Logo.png"
"57520","Edmonton Gold","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/57520/Edm Gold.jpg"
"54873","Elk Valley","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54873/Elk Valley - Transparent.png"
"84044","English Police RUFC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/84044/English Police.pdf"
"54874","Evergreens Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54874/Evergreens - Transparent.png"
"83959","FVRU","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/83959/download.png"
"57531","Fraser Valley","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/57531/FV Rugby.png"
"54876","James Bay AA","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54876/James Bay AA - Transparent.png"
"54877","Justice","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54877/Justice - Transparent.png"
"54878","Kamloops","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54878/Kamloops - Transparent.png"
"54879","Kats RFC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54879/Kats - Transparent.png"
"54880","Kelowna Crows","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54880/Kelowna - Transparent.png"
"54881","Langley RFC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54881/LRC_Logo_RGB-01.png"
"54882","Legends","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54882/Legends Logo as GIF.gif"
"54883","Manthers","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54883/Manthers - Transparent.png"
"54884","Meraloma","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54884/Main Logo.png"
"60044","NVIRU","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/60044/MicrosoftTeams-image (1).png"
"54885","Nanaimo Hornets","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54885/Nanaimo - Transparent.png"
"59172","North Island Tsunami","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/59172/north.png"
"54886","Northwest Old Boys","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54886/Northwest Old Boys - Transparent.png"
"90840","Nova Scotia Keltics","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/90840/NS.jpg"
"83673","Otago Rugby Club","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/83673/rugby.jpg"
"91961","PEI Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/91961/PEI.png"
"54888","PG Gnats","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54888/Prince George Gnats - Transparent.png"
"84176","PNW Loggers","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/84176/Screen+Shot+2021-11-12+at+11.54.47.png"
"71003","Pacific Pride","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/71003/Pacific Pride - Transparent.png"
"71987","Peace Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/71987/Peace - Transparent.png"
"54887","Penticton Harlequins","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54887/Penticton - Transparent.png"
"54889","Port Alberni Black Sheep","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54889/Port Alberni - Transparent.png"
"54890","Priest Valley Vicars","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54890/Priest Valley- Transparent.png"
"55720","Prince George Gnats","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55720/Prince George Gnats - Transparent.png"
"54875","Prince George Youth Rugby Association","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54875/Prince George Youth - Transparent.png"
"54891","Prince Rupert Seamen","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54891/Prince Rupert - Transparent.png"
"83031","Rapids Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/83031/Rapids - Transparent.png"
"54892","Richmond","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54892/Richmond - Transparent.png"
"54893","Ridge Meadows","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54893/Ridge Meadows - Transparent.png"
"54894","Rocky Mountain Rogues","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54894/Rocky Mountain Rogues - Transparent.png"
"91737","SAIT","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/91737/sait.png"
"72038","Salish Warriors","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/72038/Salish Sea - Transparent.png"
"84179","Saskatchewan Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/84179/11083662_885416368182044_7926422225340325906_n.jpg"
"54895","Scribes","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54895/Scribes_RFC_Logo.jpg"
"54896","Seattle Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54896/Seattle - Transparent.png"
"54897","Simon Fraser RC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54897/SFU - Transparent.png"
"65042","Simon's Fridge","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/65042/IMG-20220426-WA0005.jpg"
"54898","Snowcaps RFC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54898/Snowcaps - Transparent.png"
"54900","Surrey Beavers AA","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54900/Surrey - Transparent.png"
"83461","Surrey Beavers Youth","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/83461/logo_work08.jpg"
"83960","TORA","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/83960/TORA  Logo.png"
"54901","Terrace Northmen","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54901/Terrace Northman - Transparent.png"
"57516","Thunder Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/57516/Thunder - Transparent.png"
"91960","Toronto Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/91960/TO.png"
"92677","Trail Colonials","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/92677/Trail logo.png"
"77872","Trinity Western University","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/77872/TWU Spartans - Transparent.png"
"54903","Twilighters","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54903/Twilighters - Transparent.png"
"54905","UBC RFC (Men's)","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54905/UBC Thunderbirds - Transparent.png"
"88563","UBC Thunderbirds","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/88563/UBC.png"
"54906","UBCO Heat","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54906/UBCO Heat - Transparent.png"
"54907","UBCOB Ravens","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54907/UBCOB Ravens - Transparent.png"
"54908","United","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54908/United - Transparent.png"
"54904","University Of Victoria","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54904/UVic Vikes- Transparent.png"
"60466","University of Alberta Pandas","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/60466/Pandas - Transparent.png"
"60464","University of Calgary","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/60464/UoC Dinos - Transparent.png"
"60465","University of Lethbridge","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/60465/Horns - Transparent.png"
"71996","Vancouver Barbarians","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/71996/Barbarians - Transparent.png"
"82453","Vancouver East","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/82453/VanEast-Logo.png"
"90739","Vancouver Highlanders","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/90739/Vancouver_Highlanders_12_final-01.png"
"59170","Vancouver Island Junior Tide","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/59170/Vancouver Island RU - Transparent.png"
"59168","Vancouver Island Tide","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/59168/Vancouver Island RU - Transparent.png"
"54909","Vancouver Rowing Club","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54909/Vancouver Rowing Club - Transparent.png"
"82025","Vancouver Rugby Union","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/82025/Vancouver Rugby - Transparent.png"
"56407","Vancouver Thunderbirds","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/56407/UBC Thunderbirds - Transparent.png"
"54910","Vernon","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54910/Vernon - Transparent.png"
"60053","Washington","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/60053/wash rugby.png"
"90687","Western Washingotn","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/90687/WW.png"
"54911","Westshore","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54911/Westshore - 300x300.png"
"54912","Williams Lake Rustlers","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/54912/Williams Lake - Transparent.png"
"69417","Yeti Rugby Club","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/69417/yeti-icon-circle-uprights-trees.png"
"90976","Yukon Rugby Federation","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/90976/Yukon Rugby Logo JPEG (002).jpg"
