league_id,home_id,away_id,date,time,venue
204904,58854,58866,07/06/2025,12:00,Beaconsfield HS
204904,58862,58860,07/06/2025,12:00,Ecole St-Georges
204904,58854,58860,14/06/2025,12:00,Beaconsfield HS
204904,58866,58855,14/06/2025,15:00,Ste-Julie
204904,58866,58854,28/06/2025,13:00,Ste-Julie
204904,58860,58862,28/06/2025,15:00,École secondaire De Rochebelle
204904,58855,58854,05/07/2025,12:00,Grant Bishops College
204904,58862,58866,05/07/2025,12:00,Ecole St-Georges
204904,58860,58855,12/07/2025,00:00,École secondaire De Rochebelle
204904,58862,58854,12/07/2025,12:00,Ecole St-Georges
204904,58862,58855,26/07/2025,12:00,Ecole St-Georges
204904,58866,58860,26/07/2025,13:00,Ste-Julie
204904,58855,58866,02/08/2025,12:00,Grant Bishops College
204904,58860,58854,02/08/2025,12:00,École secondaire De Rochebelle
204875,58658,58866,31/05/2025,13:30,Parc Riverside
204875,90651,58855,31/05/2025,13:30,Heritage College
204875,58873,58659,31/05/2025,15:30,Parc Henri-Julien
204875,58855,58658,07/06/2025,15:00,Grant Bishops College
204875,58659,90651,07/06/2025,15:00,Parc King George
204875,58873,58866,07/06/2025,15:30,Parc Henri-Julien
204875,58866,58659,14/06/2025,13:00,Ste-Julie
204875,58855,58873,14/06/2025,15:00,Grant Bishops College
204875,90651,58658,14/06/2025,15:30,Heritage College
204875,58658,58659,27/06/2025,20:30,Parc Riverside
204875,90651,58873,28/06/2025,13:30,Heritage College
204875,58866,58855,28/06/2025,15:00,Ste-Julie
204875,58855,58659,05/07/2025,15:00,Grant Bishops College
204875,90651,58866,05/07/2025,15:30,Heritage College
204875,58873,58658,05/07/2025,17:30,Parc Henri-Julien
204875,58855,90651,12/07/2025,00:00,Grant Bishops College
204875,58866,58658,12/07/2025,15:00,Ste-Julie
204875,58659,58873,12/07/2025,15:00,Parc King George
204875,58658,58855,19/07/2025,14:30,Parc Riverside
204875,58866,58873,19/07/2025,15:00,Ste-Julie
204875,90651,58659,19/07/2025,15:00,Heritage College
204875,58873,58855,02/08/2025,14:00,Parc Henri-Julien
204875,58659,58866,02/08/2025,15:00,Parc King George
204875,58658,90651,03/08/2025,15:00,Hopital Douglas
204877,58658,58866,31/05/2025,12:00,Parc Riverside
204877,90651,58855,31/05/2025,12:00,Heritage College
204877,58873,58659,31/05/2025,13:30,Parc Henri-Julien
204877,58855,58658,07/06/2025,13:30,Grant Bishops College
204877,58659,90651,07/06/2025,13:30,Parc King George
204877,58873,58866,07/06/2025,13:30,Parc Henri-Julien
204877,58866,58659,14/06/2025,11:00,Ste-Julie
204877,58855,58873,14/06/2025,13:30,Grant Bishops College
204877,90651,58658,14/06/2025,14:00,Heritage College
204877,58658,58659,27/06/2025,19:00,Parc Riverside
204877,90651,58873,28/06/2025,12:00,Heritage College
204877,58866,58855,28/06/2025,13:00,Ste-Julie
204877,58855,58659,05/07/2025,13:30,Grant Bishops College
204877,90651,58866,05/07/2025,14:00,Heritage College
204877,58873,58658,05/07/2025,15:00,Parc Henri-Julien
204877,58855,90651,12/07/2025,00:00,Grant Bishops College
204877,58866,58658,12/07/2025,13:00,Ste-Julie
204877,58659,58873,12/07/2025,13:30,Parc King George
204877,58866,58873,19/07/2025,13:00,Ste-Julie
204877,58658,58855,19/07/2025,13:00,Parc Riverside
204877,90651,58659,19/07/2025,13:30,Heritage College
204877,58873,58855,02/08/2025,12:00,Parc Henri-Julien
204877,58659,58866,02/08/2025,13:30,Parc King George
204877,58658,90651,03/08/2025,13:30,Hopital Douglas
204905,58872,58870,24/05/2025,10:00,Cegep Vanier
204905,58657,58870,31/05/2025,10:00,PARC SUNNYBROOKE
204905,58854,58955,31/05/2025,12:00,Beaconsfield HS
204905,58857,58872,31/05/2025,15:00,Academie les Estacades
204905,58658,58860,31/05/2025,15:00,Parc Riverside
204905,58854,58857,14/06/2025,10:30,Beaconsfield HS
204905,58658,58657,14/06/2025,13:00,Parc Riverside
204905,58870,58860,14/06/2025,13:00,Parc Henri-Julien
204905,58955,58872,14/06/2025,13:00,St-Georges Lumberjacks
204905,58870,58854,21/06/2025,13:00,Parc Henri-Julien
204905,58955,58657,21/06/2025,13:00,St-Georges Lumberjacks
204905,58860,58857,21/06/2025,15:00,Academie Saint-Louis
204905,58872,58658,28/06/2025,11:30,Cegep Vanier
204905,58857,58955,28/06/2025,15:00,Academie les Estacades
204905,58872,58657,05/07/2025,10:00,Cegep Vanier
204905,58870,58857,05/07/2025,13:00,Parc Henri-Julien
204905,58955,58658,05/07/2025,13:00,St-Georges Lumberjacks
204905,58860,58854,05/07/2025,15:00,Academie Saint-Louis
204905,58860,58872,12/07/2025,00:00,École secondaire De Rochebelle
204905,58657,58854,12/07/2025,10:00,PARC SUNNYBROOKE
204905,58955,58870,12/07/2025,13:00,St-Georges Lumberjacks
204905,58857,58658,12/07/2025,15:00,Academie les Estacades
204905,58854,58658,26/07/2025,12:00,Beaconsfield HS
204905,58657,58857,26/07/2025,12:00,PARC SUNNYBROOKE
204905,58870,58872,26/07/2025,13:00,Parc Henri-Julien
204905,58955,58860,26/07/2025,13:00,St-Georges Lumberjacks
204905,58854,58872,02/08/2025,10:00,Beaconsfield HS
204905,58657,58860,02/08/2025,12:00,PARC SUNNYBROOKE
204905,58658,58870,03/08/2025,12:00,Hopital Douglas
204906,58869,58858,31/05/2025,14:00,Chateauguay Valley Reg HS
204906,58857,58871,31/05/2025,15:00,Academie les Estacades
204906,58867,58869,07/06/2025,14:30,École Secondaire Curé-Mercure
204906,58858,58871,07/06/2025,15:00,Lions Park
204906,58871,58867,14/06/2025,11:00,Ste-Julie
204906,58857,58858,14/06/2025,13:00,Academie les Estacades
204906,58867,58858,28/06/2025,12:30,École Secondaire Curé-Mercure
204906,58857,58869,28/06/2025,13:00,Academie les Estacades
204906,58871,58857,05/07/2025,13:00,Ste-Julie
204906,58858,58869,05/07/2025,15:00,Lions Park
204906,58857,58867,12/07/2025,13:00,Academie les Estacades
204906,58869,58871,12/07/2025,15:00,Chateauguay Valley Reg HS
204906,58869,58867,19/07/2025,14:00,Chateauguay Valley Reg HS
204906,58871,58858,19/07/2025,15:00,Ste-Julie
204906,58867,58871,26/07/2025,13:00,École Secondaire Curé-Mercure
204906,58858,58857,02/08/2025,15:00,Lions Park
204907,58869,58659,31/05/2025,12:00,Chateauguay Valley Reg HS
204907,83076,90651,31/05/2025,12:30,École Louis-Phillipe-Paré
204907,58867,58866,31/05/2025,13:00,École Secondaire Curé-Mercure
204907,90651,58869,07/06/2025,12:00,Heritage College
204907,58659,58866,07/06/2025,12:00,Parc King George
204907,58867,83076,07/06/2025,12:30,École Secondaire Curé-Mercure
204907,90651,58659,14/06/2025,11:00,Heritage College
204907,58866,83076,14/06/2025,13:00,Ste-Julie
204907,83076,58659,20/06/2025,19:30,Parc Billings
204907,58867,90651,21/06/2025,13:00,École Secondaire Curé-Mercure
204907,58866,58869,21/06/2025,13:00,Ste-Julie
204907,58867,58869,28/06/2025,14:30,École Secondaire Curé-Mercure
204907,90651,58866,05/07/2025,11:00,Heritage College
204907,58869,83076,05/07/2025,12:00,Chateauguay Valley Reg HS
204907,58659,58867,05/07/2025,12:00,Parc King George
204907,90651,83076,12/07/2025,12:00,Heritage College
204907,58659,58869,12/07/2025,12:00,Parc King George
204907,58866,58867,12/07/2025,13:00,Ste-Julie
204907,58869,90651,19/07/2025,12:00,Chateauguay Valley Reg HS
204907,58866,58659,19/07/2025,13:00,Ste-Julie
204907,83076,58867,19/07/2025,13:30,Parc Billings
204907,83076,58866,02/08/2025,11:30,Parc Billings
204907,58869,58867,02/08/2025,12:00,Chateauguay Valley Reg HS
204907,58659,90651,02/08/2025,12:00,Parc King George
204908,58868,58862,24/05/2025,11:30,Parc Etienne Desmarteau
204908,58657,58871,31/05/2025,14:00,PARC SUNNYBROOKE
204908,58861,92524,31/05/2025,15:00,Parc Chênier
204908,58862,58861,05/06/2025,20:00,McEwen field (Macdonald Campus)
204908,58871,58868,07/06/2025,13:00,Ste-Julie
204908,92524,58657,07/06/2025,16:00,Parc Villeray
204908,58862,58657,14/06/2025,10:30,Ecole St-Georges
204908,58868,58861,14/06/2025,11:30,Parc Etienne Desmarteau
204908,92524,58871,14/06/2025,16:00,Parc Villeray
204908,58861,58871,26/06/2025,19:30,Parc Chênier
204908,58862,92524,28/06/2025,10:30,Ecole St-Georges
204908,58657,58868,28/06/2025,15:00,PARC SUNNYBROOKE
204908,58862,58871,05/07/2025,10:30,Ecole St-Georges
204908,58868,92524,05/07/2025,11:30,Parc Etienne Desmarteau
204908,58861,58657,05/07/2025,15:00,Parc Chênier
204908,58862,58868,12/07/2025,10:30,Ecole St-Georges
204908,58871,58657,12/07/2025,11:00,Ste-Julie
204908,92524,58861,12/07/2025,16:00,Parc Villeray
204908,58868,58871,17/07/2025,20:00,Parc Etienne Desmarteau
204908,58657,92524,19/07/2025,15:00,PARC SUNNYBROOKE
204908,58861,58862,19/07/2025,15:00,Parc Chênier
204908,58871,92524,26/07/2025,11:00,Ste-Julie
204908,58657,58862,26/07/2025,15:00,PARC SUNNYBROOKE
204908,58861,58868,02/08/2025,15:00,Parc Chênier
204705,58854,58870,07/06/2025,15:00,Beaconsfield HS
204705,58860,58868,07/06/2025,16:00,École secondaire De Rochebelle
204705,58862,58872,07/06/2025,16:30,Ecole St-Georges
204705,58854,58860,14/06/2025,15:00,Beaconsfield HS
204705,58862,58870,14/06/2025,15:00,Ecole St-Georges
204705,58868,58872,14/06/2025,16:00,Parc Etienne Desmarteau
204705,58870,58868,28/06/2025,13:00,Parc Henri-Julien
204705,58862,58854,28/06/2025,15:00,Ecole St-Georges
204705,58872,58860,28/06/2025,15:00,Cegep Vanier
204705,58862,58860,05/07/2025,15:00,Ecole St-Georges
204705,58868,58854,05/07/2025,16:00,Parc Etienne Desmarteau
204705,58872,58870,05/07/2025,16:00,Cegep Vanier
204705,58860,58870,12/07/2025,00:00,École secondaire De Rochebelle
204705,58854,58872,12/07/2025,15:00,Beaconsfield HS
204705,58862,58868,12/07/2025,16:30,Ecole St-Georges
204705,58872,58862,26/07/2025,15:00,Cegep Vanier
204705,58868,58860,26/07/2025,16:00,Parc Etienne Desmarteau
204705,58870,58854,26/07/2025,17:00,Parc Henri-Julien
204705,58872,58868,02/08/2025,14:45,Cegep Vanier
204705,58860,58854,02/08/2025,16:00,École secondaire De Rochebelle
204705,58870,58862,02/08/2025,17:00,Parc Henri-Julien
204706,58854,58870,07/06/2025,13:30,Beaconsfield HS
204706,58860,58868,07/06/2025,14:30,École secondaire De Rochebelle
204706,58862,58872,07/06/2025,15:00,Ecole St-Georges
204706,58854,58860,14/06/2025,13:30,Beaconsfield HS
204706,58862,58870,14/06/2025,13:30,Ecole St-Georges
204706,58868,58872,14/06/2025,14:00,Parc Etienne Desmarteau
204706,58872,58860,28/06/2025,13:15,Cegep Vanier
204706,58862,58854,28/06/2025,13:30,Ecole St-Georges
204706,58870,58868,28/06/2025,15:00,Parc Henri-Julien
204706,58872,58870,05/07/2025,13:20,Cegep Vanier
204706,58862,58860,05/07/2025,13:30,Ecole St-Georges
204706,58868,58854,05/07/2025,14:00,Parc Etienne Desmarteau
204706,58860,58870,12/07/2025,00:00,École secondaire De Rochebelle
204706,58854,58872,12/07/2025,13:30,Beaconsfield HS
204706,58862,58868,12/07/2025,15:00,Ecole St-Georges
204706,58868,58860,26/07/2025,13:30,Parc Etienne Desmarteau
204706,58870,58854,26/07/2025,14:00,Parc Henri-Julien
204706,58872,58862,26/07/2025,14:00,Cegep Vanier
204706,58872,58868,02/08/2025,13:00,Cegep Vanier
204706,58860,58854,02/08/2025,13:30,École secondaire De Rochebelle
204706,58870,58862,02/08/2025,15:00,Parc Henri-Julien
204704,90651,58860,31/05/2025,15:00,Heritage College
204704,58872,58862,31/05/2025,15:00,Cegep Vanier
204704,58860,58872,07/06/2025,13:00,École secondaire De Rochebelle
204704,58862,90651,07/06/2025,13:30,Ecole St-Georges
204704,58862,58860,14/06/2025,12:00,Ecole St-Georges
204704,90651,58872,14/06/2025,12:30,Heritage College
204704,58862,58872,28/06/2025,12:00,Ecole St-Georges
204704,90651,58860,28/06/2025,15:00,Heritage College
204704,58872,58860,05/07/2025,11:40,Cegep Vanier
204704,90651,58862,05/07/2025,12:30,Heritage College
204704,58860,90651,12/07/2025,00:00,École secondaire De Rochebelle
204704,58862,58872,12/07/2025,13:30,Ecole St-Georges
204704,58860,58862,26/07/2025,15:00,École secondaire De Rochebelle
204704,58872,90651,26/07/2025,15:40,Cegep Vanier
